ticker,base,quote,exchange,price,ask,bid,spread,volume
blz-bnb,blz,bnb,binance,0.0024,0.0024,0.00239,9.999999999999593e-06,632783.6
ae-btc,ae,btc,binance,6.53e-05,6.54e-05,6.53e-05,1.0000000000000243e-07,1469130.05
ae-eth,ae,eth,binance,0.002416,0.002412,0.002398,1.4000000000000123e-05,166848.59
ae-bnb,ae,bnb,binance,0.02207,0.02234,0.02221,0.00012999999999999817,96106.7
rpx-btc,rpx,btc,binance,0.0,0.0,0.0,0.0,0.0
rpx-eth,rpx,eth,binance,0.0,0.0,0.0,0.0,0.0
rpx-bnb,rpx,bnb,binance,0.0,0.0,0.0,0.0,0.0
ncash-btc,ncash,btc,binance,2.7e-07,2.8e-07,2.7e-07,1.000000000000001e-08,194889214.0
ncash-eth,ncash,eth,binance,1.003e-05,1.003e-05,1e-05,2.999999999999971e-08,26080687.0
ncash-bnb,ncash,bnb,binance,9.2e-05,9.3e-05,9.2e-05,9.999999999999972e-07,30144504.0
poa-btc,poa,btc,binance,3.89e-06,3.89e-06,3.87e-06,1.999999999999981e-08,13328872.0
poa-eth,poa,eth,binance,0.00014245,0.00014385,0.0001424,1.4500000000000081e-06,1729856.0
poa-bnb,poa,bnb,binance,0.00134,0.00134,0.00132,2.0000000000000052e-05,916652.9
zil-btc,zil,btc,binance,2.29e-06,2.3e-06,2.29e-06,9.999999999999904e-09,191897265.0
zil-eth,zil,eth,binance,8.438e-05,8.461e-05,8.413e-05,4.80000000000009e-07,14531613.0
zil-bnb,zil,bnb,binance,0.000781,0.000785,0.000781,3.999999999999989e-06,12286042.0
ont-btc,ont,btc,binance,0.0001687,0.0001687,0.0001684,3.000000000000073e-07,4384619.5
ont-eth,ont,eth,binance,0.006218,0.006219,0.006192,2.7000000000000114e-05,193383.09
ont-bnb,ont,bnb,binance,0.05755,0.05761,0.05747,0.00014000000000000123,257855.4
storm-btc,storm,btc,binance,3.7e-07,3.8e-07,3.7e-07,1.000000000000001e-08,295181545.0
storm-eth,storm,eth,binance,1.37e-05,1.384e-05,1.365e-05,1.8999999999999987e-07,20790483.0
storm-bnb,storm,bnb,binance,0.000127,0.000128,0.000127,9.999999999999972e-07,30565034.0
